player_id,last_season,current_club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp,url
214258,2014,3729,andrey-naletov,Andrey Naletov,Russia,Russia,3/31/1996,Defender,Centre-Back,Right,179,,23000,https://www.transfermarkt.co.uk/andrey-naletov/profil/spieler/214258
45247,2014,1162,damien-perquis,Damien Perquis,France,France,3/8/1986,Goalkeeper,Goalkeeper,Right,186,360000,900000,https://www.transfermarkt.co.uk/damien-perquis/profil/spieler/45247
61389,2014,3729,ivan-lozenkov,Ivan Lozenkov,UdSSR,Russia,4/14/1984,Defender,Centre-Back,Left,182,,270000,https://www.transfermarkt.co.uk/ivan-lozenkov/profil/spieler/61389
217036,2014,3729,aleksandr-zakarlyuka,Aleksandr Zakarlyuka,Estonia,Russia,6/24/1995,Midfield,Central Midfield,Right,178,203000,203000,https://www.transfermarkt.co.uk/aleksandr-zakarlyuka/profil/spieler/217036
97205,2014,28095,nikita-bezlikhotnov,Nikita Bezlikhotnov,UdSSR,Russia,8/19/1990,Attack,Right Winger,Right,179,225000,675000,https://www.transfermarkt.co.uk/nikita-bezlikhotnov/profil/spieler/97205
57208,2014,1162,felipe-saad,Felipe Saad,Brazil,Brazil,9/11/1983,Defender,Centre-Back,Left,187,,1080000,https://www.transfermarkt.co.uk/felipe-saad/profil/spieler/57208
140799,2014,403,jonas-heymans,Jonas Heymans,Belgium,Belgium,2/6/1993,Defender,Left-Back,Left,182,,450000,https://www.transfermarkt.co.uk/jonas-heymans/profil/spieler/140799
55472,2014,276,rafael-marques,Rafael Marques,Brazil,Brazil,9/21/1983,Defender,Centre-Back,Right,187,,1620000,https://www.transfermarkt.co.uk/rafael-marques/profil/spieler/55472
37633,2014,276,guillermo-rodriguez,Guillermo Rodriguez,Uruguay,Uruguay,3/21/1984,Defender,Centre-Back,Left,185,45000,2610000,https://www.transfermarkt.co.uk/guillermo-rodriguez/profil/spieler/37633
76902,2014,276,fernandinho,Fernandinho,Brazil,Brazil,11/25/1985,Attack,Left Winger,Left,173,135000,1800000,https://www.transfermarkt.co.uk/fernandinho/profil/spieler/76902
299944,2014,276,alimeyaw-salifu,Alimeyaw Salifu,Ghana,Ghana,8/20/1995,Midfield,Central Midfield,Right,180,,45000,https://www.transfermarkt.co.uk/alimeyaw-salifu/profil/spieler/299944
287631,2014,276,pierluigi-cappelluzzo,Pierluigi Cappelluzzo,Italy,Italy,6/9/1996,Attack,Centre-Forward,Left,186,23000,270000,https://www.transfermarkt.co.uk/pierluigi-cappelluzzo/profil/spieler/287631
45185,2014,862,tomasz-kupisz,Tomasz Kupisz,Poland,Poland,1/2/1990,Midfield,Right Midfield,Right,180,270000,900000,https://www.transfermarkt.co.uk/tomasz-kupisz/profil/spieler/45185
88542,2014,862,ruben-botta,Ruben Botta,Argentina,Argentina,1/31/1990,Midfield,Attacking Midfield,Left,177,990000,4500000,https://www.transfermarkt.co.uk/ruben-botta/profil/spieler/88542
7611,2014,276,javier-saviola,Javier Saviola,Argentina,Argentina,12/11/1981,Attack,Second Striker,Right,168,,18000000,https://www.transfermarkt.co.uk/javier-saviola/profil/spieler/7611
107958,2014,862,nicola-bellomo,Nicola Bellomo,Italy,Italy,2/18/1991,Midfield,Attacking Midfield,Right,174,180000,1620000,https://www.transfermarkt.co.uk/nicola-bellomo/profil/spieler/107958
34909,2014,862,simone-bentivoglio,Simone Bentivoglio,Italy,Italy,5/29/1985,Midfield,Central Midfield,Right,184,,2700000,https://www.transfermarkt.co.uk/simone-bentivoglio/profil/spieler/34909
5976,2014,862,roberto-guana,Roberto Guana,Italy,Italy,1/21/1981,Midfield,Central Midfield,Right,178,,3780000,https://www.transfermarkt.co.uk/roberto-guana/profil/spieler/5976
23367,2014,862,alessio-sestu,Alessio Sestu,Italy,Italy,9/29/1983,Attack,Right Winger,Right,177,,720000,https://www.transfermarkt.co.uk/alessio-sestu/profil/spieler/23367
16117,2014,862,nicola-pozzi,Nicola Pozzi,Italy,Italy,6/30/1986,Attack,Centre-Forward,Right,182,,4320000,https://www.transfermarkt.co.uk/nicola-pozzi/profil/spieler/16117
176130,2014,800,lorenzo-rosseti,Lorenzo Rosseti,Italy,Italy,8/5/1994,Attack,Centre-Forward,Right,182,135000,1080000,https://www.transfermarkt.co.uk/lorenzo-rosseti/profil/spieler/176130
29208,2014,1429,davide-succi,Davide Succi,Italy,Italy,10/11/1981,Attack,Centre-Forward,Right,182,,1980000,https://www.transfermarkt.co.uk/davide-succi/profil/spieler/29208
334723,2014,800,nicolas-napol,Nicolas Napol,France,Belgium,4/3/1996,Attack,Centre-Forward,Right,186,,68000,https://www.transfermarkt.co.uk/nicolas-napol/profil/spieler/334723
20726,2014,800,rolando-bianchi,Rolando Bianchi,Italy,Italy,2/15/1983,Attack,Centre-Forward,Right,188,,11700000,https://www.transfermarkt.co.uk/rolando-bianchi/profil/spieler/20726
160188,2014,862,marcao,Marcao,Brazil,Brazil,3/6/1992,Goalkeeper,Goalkeeper,Right,195,45000,45000,https://www.transfermarkt.co.uk/marcao/profil/spieler/160188
290418,2014,1429,riccardo-gaiola,Riccardo Gaiola,Italy,Italy,4/1/1996,Midfield,Central Midfield,Right,183,68000,113000,https://www.transfermarkt.co.uk/riccardo-gaiola/profil/spieler/290418
